"nombre";"descripcion";"precio_unitario";"marca";"categoria"
"Y2486, PANT JEAN YOSHIRO BB, 2BB-6BB";;"60.00";"YOSHIRO";"PANTALON JEAN"
"Y2541,PANT JEAN YOSHIRO BB, 2BB-6BB";;"60.00";"YOSHIRO";"PANTALON JEAN"
"Y2945, PANT SEMIPIT JEAN YOSHIRO ÑO T:10-14";;"74.00";"YOSHIRO";"PANTALON JEAN"
"Y2945, PANT SEMIPIT YOSHIRO ÑO, T:16-18";;"78.00";"YOSHIRO";"PANTALON JEAN"
"Y2921, PANT CONFORT YOSHIRO ÑO, T: 4-8";;"70.00";"YOSHIRO";"PANTALON JEAN"
"Y2921, PANT JEAN YOSHIRO CONFORT ÑO, T:1O-14";;"72.00";"YOSHIRO";"PANTALON JEAN"
"Y2921, PANT JEAN YOSHIRO CONFORT ÑO, T:16-18";;"76.00";"YOSHIRO";"PANTALON JEAN"
"Y2880, PANT SEMIPIT JEAN YOSHIRO ÑO, T:8";;"70.00";"YOSHIRO";"PANTALON JEAN"
"Y2880, PANT SEMIPIT JEAN YOSHIRO ÑO, T:10-14";;"72.00";"YOSHIRO";"PANTALON JEAN"
"Y2880, PANT SEMIPIT JEAN YOSHIRO ÑO, T:16";;"76.00";"YOSHIRO";"PANTALON JEAN"
"Y2563, PANT JEAN YOSHIRO CONFORT ÑO, T:6-8";;"70.00";"YOSHIRO";"PANTALON JEAN"
"Y2563, PANT JEAN YOSHIRO CONFORT ÑO, T:10-14";;"72.00";"YOSHIRO";"PANTALON JEAN"
"Y2563, PANT JEAN YOSHIRO CONFORT ÑO, T:16";;"76.00";"YOSHIRO";"PANTALON JEAN"
"Y2696, PANT JEAN YOSHIRO CONFORT ÑO, T:8";;"70.00";"YOSHIRO";"PANTALON JEAN"
"Y2996, PANT JEAN YOSHIRO CONFORT ÑO, T:10-14";;"72.00";"YOSHIRO";"PANTALON JEAN"
"Y2696, PANT JEAN YOSHIRO CONFORT ÑO, T:10-14";;"72.00";"YOSHIRO";"PANTALON JEAN"
"Y2696, PANT JEAN YOSHIRO CONFORT ÑO, T:16-18";;"76.00";"YOSHIRO";"PANTALON JEAN"
"Y2945, PANT SEMIPIT JEAN YOSHIRO ÑO,T:4-8";;"72.00";"YOSHIRO";"PANTALON JEAN"
"POLO BABY MAX M/0 NIÑO T 4 -16 SURFER DINO";;"37.00";"BABY MAX";"POLOS"
"POLO BABY MAX M/0 NIÑO T12-16 PEC TABLA";;"37.00";"BABY MAX";"POLOS"
"POLO BABY MAX M/0 JUVENIL T 12-16 MAX";;"37.00";"BABY MAX";"POLOS"
"POLO BABY MAX M/0 JUVENIL T12 -16 , CALIF";;"37.00";"BABY MAX";"POLOS"
"POLO BABY MAX M/C BB T2-4 MICKY  RAYAS";;"33.00";"BABY MAX";"POLOS"
"POLO BABY MAX M/C BB T2-4 MICKEY BOLS";;"33.00";"BABY MAX";"POLOS"
"POLO BABY MAX M/C BBT2-4 DINO";;"33.00";"BABY MAX";"POLOS"
"POLO ANGELA AITIANA TALLA 6-M";;"42.00";"ANGELA";"POLOS"
"POLO ISRAEL KUKULI C/CAM.M/C. T:5BB-8T";;"42.00";"KUKULI";"POLOS"
"CONJ.ANCLITA 2PZAS KUKULI, 04563, T:6BB-8T";;"63.00";"KUKULI";"CONJUNTO"
"BEBECRECE ANTONY 2PZAS KUKULI 04528, T:0BB-2BB";;"63.00";"KUKULI";"BEBECRECE ALGODON"
"VESTIDO ANGELICA KUKULI 04544, T:6-14";;"73.00";"KUKULI";"VESTIDOS ALGODON"
"BATITA CERECITA 2 PZAS, KUKULI 04562,T:3BB-2T";;"54.00";"KUKULI";"BATITA ALGODON"
"PANT.PALAZO KUKULI K8725, T:4-10";;"68.00";"KUKULI";"PANTALON JEAN"
"PANT. PALAZO KUKULI K8725 T:12-18";;"69.00";"KUKULI";"PANTALON JEAN"
"SHORT ALANA KUKULI K8642, T:4-18";;"49.00";"KUKULI";"SHORT DRILL"
"AJUAR FLORCITAS KUKULI 0451 , T:1BB-3BB";;"67.00";"KUKULI";"AJUAR ALGODON"
"SET X3 TRUZA GAT-CON.KUKULI. ALG. ";;"25.00";"KUKULI";"TRUZA"
"SET X3 TRUZA KUKULI ÑA";;"28.00";"KUKULI";"TRUZA"
"GORRO C/VISERA HUELLITAS YORYAN";;"25.00";"YORYAN";"GORRO "
"SOMBREROS DRILL YORYAN ";;"25.00";"YORYAN";"SOMBRERO"
"AJUAR JACKARD AJEDREZ YORYAN";;"59.00";"YORYAN";"AJUAR JACKARD"
"AJUAR PIMA CLASICO YORYAN";;"54.00";"YORYAN";"AJUAR ALGODON"
"TOALLA PATO C/ENTERO YORYAN";;"57.00";"YORYAN";"TOALLA "
"COLCHA JACKARD CABEZA C/OSO YORYAN";;"73.00";"YORYAN";"COLCHA JACKARD"
"PORTABEBE JACKAR CIERRE YORYAN";;"73.00";"YORYAN";"PORTABEBE"
"TOALLA PATO ESTAMPADO YORYAN ";;"59.00";"YORYAN";"TOALLA "
"COLCHA HILO CINTA YORYAN ";;"80.00";"YORYAN";"COLCHA HILO"
"COLCHA HILO CONEJO YORYAN";;"80.00";"YORYAN";"COLCHA HILO"
"COLCHA PIMA BOBO CLASICO ";;"64.00";"YORYAN";"COLCHA ALGODON"
"AJUAR PIMA BARQUITO YORYAN";;"59.00";"YORYAN";"AJUAR ALGODON"
"AJUAR P.INGLES YORYAN ";;"59.00";"YORYAN";"AJUAR PUNTO INGLES"
"ROPON HILO CUELLO BB YORYAN ";;"74.00";"YORYAN";"AJUAR HILO"
"TOALLA C/SANDALIA YORYAN";;"57.00";"YORYAN";"TOALLA "
"TOALLA CLÁSICA YORYAN";;"54.00";"YORYAN";"TOALLA "
"SABANA CUNA YORYAN";;"63.00";"YORYAN";"SABANA"
"SABANA CAMA CUNA YORYAN";;"80.00";"YORYAN";"SABANA"
"SET DE BANDANAS YORYAN ";;"17.00";"YORYAN";"BANDANA"
"VESTIDO CASUAL FLORES CHALICEN. C/VARIOS: 18M-36M";;"129.00";"CHALICEN";"VESTIDOS TELA"
"VESTIDO CASUAL FLORES CHALICEN. C/VARIOS: 4T-8T";;"138.00";"CHALICEN";"VESTIDOS TELA"
"VESTIDO CASUAL FLORES CHALICEN. C/VARIOS: 1O T-12T";;"144.00";"CHALICEN";"VESTIDOS TELA"
